工作名称,工作薪资,工作网站,公司名称,公司网站,公司性质,公司地点,公司标签,公司人数,公司待遇,工作年限,招聘日期
Java架构师,2.5-3万/月,https://jobs.51job.com/beijing-xcq/125502667.html?s=01&t=0,北京中诺链捷数字科技有限公司,https://jobs.51job.com/all/co5872837.html,北京-西城区,民营公司,计算机服务(系统、数据服务、维修),50-150人,五险一金 餐饮补贴 通讯补贴 定期体检 年终奖金,6,2020-09-16 11:49:55
Java高级开发工程师,1.2-2万/月,https://jobs.51job.com/beijing-hdq/122273805.html?s=01&t=0,北京星宇三鼎科技有限公司,https://jobs.51job.com/all/co2619959.html,北京-海淀区,民营公司,计算机软件,少于50人,五险一金 员工旅游 交通补贴 餐饮补贴 定期体检 专业培训 绩效奖金,6,2020-09-16 11:24:27
Java中级开发工程师,1-1.5万/月,https://jobs.51job.com/beijing-cyq/125485766.html?s=01&t=0,北京浩天桢伟科技有限公司,https://jobs.51job.com/all/co5828207.html,北京-朝阳区,民营公司,计算机软件,50-150人,,5,2020-09-16 11:19:55
Java开发工程师,1-1.5万/月,https://jobs.51job.com/beijing-hdq/125506980.html?s=01&t=0,北京腾信软创科技股份有限公司,https://jobs.51job.com/all/co3902671.html,北京-海淀区,上市公司,计算机软件,1000-5000人,,5,2020-09-16 10:07:52
Java开发工程师(中级),1-1.5万/月,https://jobs.51job.com/beijing-syq/125499218.html?s=01&t=0,比尔信息技术（北京）有限公司,https://jobs.51job.com/all/co3786991.html,北京-顺义区,民营公司,计算机软件,50-150人,专业培训 通讯补贴 交通补贴 餐饮补贴 五险,4,2020-09-16 09:57:23
Java高级开发工程师,1.1-1.6万/月,https://jobs.51job.com/beijing-sjsq/125506541.html?s=01&t=0,北京卓信智恒数据科技股份有限公司,https://jobs.51job.com/all/co3937009.html,北京-石景山区,上市公司,计算机软件,150-500人,五险一金 带薪年假 补充医疗保险 通讯补贴 定期体检 绩效奖金 周末双休,7,2020-09-16 09:48:52
Java开发工程师,1-1.5万/月,https://jobs.51job.com/beijing-cyq/125081457.html?s=01&t=0,上海腾华软件技术有限公司,https://jobs.51job.com/all/co612197.html,北京-朝阳区,上市公司,计算机软件,150-500人,做五休二 周末双休 带薪年假 五险一金 专业培训 餐饮补贴,4,2020-09-16 09:18:20
平安医疗java开发,1.2-1.9万/月,https://jobs.51job.com/beijing-cyq/125495312.html?s=01&t=0,上海讯锡信息科技有限公司,https://jobs.51job.com/all/co5980917.html,北京-朝阳区,民营公司,计算机软件,500-1000人,,5,2020-09-16 09:18:32
Java开发经理,2.5-5万/月,https://jobs.51job.com/beijing/116160334.html?s=01&t=0,北京智通云联科技有限公司,https://jobs.51job.com/all/co5074211.html,北京,民营公司,计算机软件,150-500人,通讯补贴 五险一金 补充医疗保险 节日福利 做五休二 弹性工作 定期体检 餐饮补贴 交通补贴,7,2020-09-16 09:05:42
Java开发工程师,1.5-2万/月,https://jobs.51job.com/beijing-hdq/125503434.html?s=01&t=0,北京腾信软创科技股份有限公司,https://jobs.51job.com/all/co4389218.html,北京-海淀区,上市公司,计算机软件,500-1000人,定期体检 五险一金 员工旅游 交通补贴 餐饮补贴 专业培训,5,2020-09-16 09:04:57
Java高级开发工程师,1.5-2万/月,https://jobs.51job.com/beijing/122877588.html?s=01&t=0,北京兰光创新科技有限公司,https://jobs.51job.com/all/co270113.html,北京,上市公司,计算机软件,50-150人,五险一金 餐饮补贴 通讯补贴 年终奖金 绩效奖金,6,2020-09-16 09:03:49
软件技术总监（JAVA）,2-5万/月,https://jobs.51job.com/beijing-cpq/125001638.html?s=01&t=0,北京万维盈创科技发展有限公司,https://jobs.51job.com/all/co692605.html,北京-昌平区,民营公司,仪器仪表/工业自动化,150-500人,年终奖金 员工旅游 定期体检 专业培训 通讯补贴 餐饮补贴 一年加薪一次 免费班车,6,2020-09-16 09:03:20
Java开发工程师,1-1.5万/月,https://jobs.51job.com/beijing-dxq/125505650.html?s=01&t=0,上海豪亿信息科技有限公司,https://jobs.51job.com/all/co5825750.html,北京-大兴区,民营公司,通信/电信/网络设备,,五险一金,4,2020-09-16 08:50:21
Java开发实习生,2-4千/月,https://jobs.51job.com/beijing/125498972.html?s=01&t=0,北京思杰佳通信息技术有限公司,https://jobs.51job.com/all/co1699297.html,北京,民营公司,计算机软件,50-150人,,1,2020-09-16 08:38:47
